GLOBALEVENTID,SQLDATE,Actor1Geo_FullName,Actor2Geo_FullName,DATEADDED,SOURCEURL,AvgTone
469071446,20150922,"Chibok, Borno, Nigeria","Chibok, Borno, Nigeria",20150922043000,http://dailytrust.com.ng/news/general/5000-gallant-soldiers-get-rank-in-december/111850.html,-0.46224961479198
469098199,20150922,"Ondo State, Ondo, Nigeria","Ondo State, Ondo, Nigeria",20150922064500,http://www.thisdaylive.com/articles/olu-falae-kidnapped-on-77th-birthday-abductors-demand-n100m-ransom/220882/,-5.65167243367936
469098208,20150922,"Akure, Ondo, Nigeria","Akure, Ondo, Nigeria",20150922064500,http://www.thisdaylive.com/articles/olu-falae-kidnapped-on-77th-birthday-abductors-demand-n100m-ransom/220882/,-5.65167243367936
469107723,20150921,"Borno State, Borno, Nigeria","Maiduguri, Borno, Nigeria",20150922073000,http://celebcafe.org/three-explosions-rock-city-in-nigeria-s-borno-state-6894/,-8.1967213114754
469131876,20150922,"Ilado, Ondo, Nigeria","Ilado, Ondo, Nigeria",20150922091500,http://thenews-chronicle.com/falae-kidnapped-abductors-demand-n100m-ransom/,-4.07288317256163
469131877,20150922,"Ondo State, Ondo, Nigeria","Ilado, Ondo, Nigeria",20150922091500,http://thenews-chronicle.com/falae-kidnapped-abductors-demand-n100m-ransom/,-4.07288317256163
469185406,20150922,"Akure, Ondo, Nigeria","Kayode, Nigeria (general), Nigeria",20150922123000,http://www.nairaland.com/2616420/there-consequences-falae-not-freed,-3.81593714927048
469185407,20150922,"Kano, Kano, Nigeria","Kano, Kano, Nigeria",20150922123000,http://www.nairaland.com/2616420/there-consequences-falae-not-freed,-3.81593714927048
469185421,20150922,"Daudu, Katsina, Nigeria","Daudu, Katsina, Nigeria",20150922123000,https://www.naij.com/558726-newspaper-review-sarakis-tavails-olu-falaes-kidnap-dominate-front-pages.html,-3.54838709677419
469209583,20150922,"Chibok, Borno, Nigeria","Chibok, Borno, Nigeria",20150922140000,http://en.starafrica.com/news/nigerian-army-chief-raises-hope-of-release-of-abducted-schoolgirls.html,0.61349693251534
469209623,20150922,"Chibok, Borno, Nigeria","Chibok, Borno, Nigeria",20150922140000,http://en.starafrica.com/news/nigerian-army-chief-raises-hope-of-release-of-abducted-schoolgirls.html,0.61349693251534
469218151,20150922,"Buratai, Borno, Nigeria","Buratai, Borno, Nigeria",20150922143000,http://www.apanews.net/news/en/article.php?id=834413,0.65359477124183
